"1)
Elisabeth Cabot's mother is Hannah Lowell Jackson.
2)
Sumner Murray Rothstein's mother is Belle Rothstein.
3)
Walter Houghston's mother is Elizabeth McGibbon.
4)
Gerald Paul Joseph Cajetan Carmel Antony Martin Strickland's mother is Donna Maria Aloysia Paula Bonici-Mompalao.
5)
Nesta Helen Bevan's mother is Frances Bevan.
6)
Lindley Armstrong Jones's mother is Mary Elizabeth"	 Ada Armstrong	Mary Elizabeth	70,12
"1)
Stephen Grover Cleveland's mother is Anne Neal.
2)
Washington Irving's mother is Sarah Sanders.
3)
Audrey Kathleen Ruston's mother is Ella van Heemstra.
4)
Frances Maurine Barris's mother is Loyce Whiteman.
5)
Sean Paul Ryan Francis Henriques's mother is Frances Henriques.
6)
William Stirling's mother is Mary Elizabeth"	 Elizabeth Maxwell	Mary Elizabeth	1,330
"1)
Ambrose Gwinnetter Bierice's mother is Laura Sherwood.
2)
Catherine Eugenia Finnegan's mother is Geraldine C. Blewitt.
3)
Mary Wollstonecraft Godwin's mother is Mary Wollstonecraft.
4)
John Felix Anthony Cena, Jr.'s mother is Carol Walter.
5)
Guy Francis de Moncy Burgess's mother is Evelyn Gillman.
6)
Chulalongkorn Bodindradeva Mahamongkut Burusayaratana Rajravivongse Varutamabhong Paripatra Sirivatana Rajakumar's mother is S. S. Raj"	 Debsirindra	Raj	228,13548,6149,397,4238
"1)
Mary Esther Lee's mother is Anne Duryce Phillips.
2)
Carey Anthony Wilson Jr.'s mother is Carey Wilson.
3)
Bartholomew Eliot George Warburton's mother is Anne Maria Acton.
4)
Mary Ann Bessy Terry's mother is Sarah Ballard.
5)
William Cecil Dampier Whetham's mother is Mary Ann W. Dampier.
6)
Richard Hussey Vivian's mother is Mary Ann Viv"	 Elizabeth Cranch	Ann Viv	1,27,46864
"1)
Joseph Patrick Kennedy's mother is Mary Augusta Hickey.
2)
Sarah Margaret Fuller's mother is Margaret Crane.
3)
Mary Oldrin's mother is Almy Kinner.
4)
Edward Osborne's mother is Jane Broughton.
5)
Joseph Hillstrom King's mother is Tabitha King.
6)
Mary Elizabeth Ponsonby's mother is Mary Ponsonby."	 Louisa Molesworth	Mary Ponsonby.	34,1375,4125,30009,7574
"1)
Katharine Jean Whitaker's mother is Hilda Guilhermina Dundas.
2)
Micheal McElroy's mother is Elizabeth McElroy.
3)
John Randolph Leslie's mother is Leonie Blanche Jerome.
4)
Rosalie Ida Blun's mother is Mindel (Wilhelmine) Freudenberg.
5)
Margaret Haig Thomas's mother is Sybil Thomas, Viscountess Rhondda.
6)
William Cecil Dampier Whetham's mother is Mary Elizabeth Dampier.
"	 Mary Ann W. Dampier	is Mary Elizabeth Dampier.	0,3,15,27,8521,11198,7448
"1)
Edward Louis Bernays's mother is Anna Freud Bernays.
2)
Renée Pilar Estevez's mother is Janet Sheen.
3)
Alastair Edward Henry Worsley's mother is Sarah Mitchell.
4)
Malcolm Stevenson Forbes Jr.'s mother is Roberta Remsen Laidlaw.
5)
Lucy Bethia Colquhoun's mother is Frances Sarah Fuller Maitland.
6)
Thomas Dalyell Loch's mother is Mary Elizabeth Dalyell"	 Eleanor Isabel Dalyell	Mary Elizabeth Dalyell	12,104,0,0
"1)
Jonathan Stephen Ross's mother is Martha Ross.
2)
Caylee Marie Anthony's mother is Casey Anthony.
3)
Susan Elizabeth Mary Stewart-Mackenzie's mother is Hannah Charlotte Hope-Vere.
4)
Beatrice Mary Victoria Feodore of the United Kingdom's mother is Queen Victoria.
5)
Sarah Margaret Fuller's mother is Margaret Crane.
6)
Leslie Wolf's mother is Mary Elizabeth Wolf."	 Joan H. Wolf	Mary Elizabeth Wolf.	99,29,17,26
"1)
Doris Mary Kappelhoff's mother is Alma Sophia Welz.
2)
Mary Chavelita Dunne's mother is Isabella George-Bynon.
3)
Reginald Kenneth Dwight's mother is Sheila Eileen Farebrother.
4)
Giovanni Alejandro Reyna's mother is Danielle Egan.
5)
Jeffrey Leon Bridges's mother is Dorothy Bridges.
6)
Ian Richard Kyle Paisley's mother is Mary Elizabeth Pa"	 Isabella Turnbull	Elizabeth Pa	189,4848,616
"1)
Margaret Dusa Waddington's mother is Margaret Justin Blanco White.
2)
Stephen Lucius Gwynn's mother is Lucy Josephine O\'Brien.
3)
Frederick Hubbard Gwynne's mother is Dorothy Goddard Ficken.
4)
Liza May Minnelli's mother is Judy Garland.
5)
Francis Charles Adelbert Henry Needham's mother is Ellen Constance Baldock.
6)
Bryan Thomas Mahon's mother is Mary Elizabeth Mah"	 Matilda Seymour	Elizabeth Mah	273,7036,460
