"1)
Mary Pepper gave birth to Richard Pepper Arden.
2)
Elmina Erskine gave birth to William Alexander Erskine West.
3)
Alicja Corona Klenczon gave birth to Jacqueline-Natalie Klenczon.
4)
Sheila Eileen Farebrother gave birth to Reginald Kenneth Dwight.
5)
Lula Mae Hardaway gave birth to Stevland Hardaway Judkins.
6)
Elizabeth Boleyn, Countess of Wiltshire gave birth to Henry Boleyn"	 Anne Boleyn	Henry Boleyn	15,0,0,0
"1)
Isabella Clerk gave birth to Janet Isabella Wedderburn.
2)
Eleanor Wilson Cruz gave birth to Rafael Edward Cruz.
3)
Phoebe J. Hubbard gave birth to Bertha Janette Piatt.
4)
Mary Stow gave birth to George Robert Stowe Mead.
5)
Evangeline Brewster Johnson gave birth to Evangeline Brewster Johnson.
6)
Jeanette Arnold gave birth to Jeanette Arnold.
7)"	 Doria Loyce Ragland	Jeanette Arnold. 7)	76,6823,6,15241,11960,43035,5344
"1)
Jennifer May gave birth to James Franklin Archibald Bland.
2)
Agnes Stenhouse gave birth to Thomas Lauder Brunton.
3)
Christine Anne Boldt gave birth to Benjamin Geza Affleck.
4)
Charlotte Lamb gave birth to Jane Holland.
5)
Sally Bostwick gave birth to Jabez Abel Bostwick.
6)
Anne Longden gave birth to John Henry Long"	 Barbara Leigh Smith	John Henry Long	126,691,15
"1)
Sheree Zampino gave birth to Willard Christopher Smith III.
2)
Maria de Lancey Forth gave birth to Elisabeth Joy Greene.
3)
Mama Plankton gave birth to Sheldon James Plankton.
4)
Ann Cordell gave birth to Kimila Ann Basinger.
5)
Olga Paddock gave birth to Benjamin Hoskins Paddock.
6)
Sarah Anthony Jane Borden gave birth to William Henry Borden.
"	 Lizzie Andrew Borden	William Henry Borden.	38,25286,4509,3607,100,1816
"1)
Kate Friedländer gave birth to Sybil Misch.
2)
Florence Augusta Hamilton gave birth to Clive Staples Lewis.
3)
Anne Meara gave birth to Amy Belle Sawyer Stiller.
4)
Lillian Gordy Carter gave birth to James Earl Carter Jr..
5)
Martha Euretta Potwin gave birth to Rosalie Amelia Buckingham.
6)
Bhimabai Ramji Sakpal gave birth to Bimala Ramji Sakpal.
7)
Lillian"	 Bhīvā Rāmjī Sakpāḷ	Sakpal. 7) Lillian	11,410,1642,4280,240,3288,397,1004,22135,21807,586,12961,4373,4514
"1)
Bertha Sanglel gave birth to Issur Danielovitch.
2)
Betty (?) gave birth to Dolly Kirwan.
3)
Mayen Adetiba gave birth to Kemi Adetiba.
4)
Linda Clapp gave birth to Mary Lea Trump.
5)
Margaret Willing Hare gave birth to John Powel Hare.
6)
Edith Barrett gave birth to John Barrett."	 Vincent Barrett Price	to John Barrett.	254,0,583
"1)
Margaret Anna Lloyd gave birth to Frances Catherine Marshall.
2)
Frances Sumner gave birth to John Andrew Hamilton.
3)
Danielle Egan gave birth to Giovanni Alejandro Reyna.
4)
Faith Evans gave birth to Christopher George Latore Wallace Jr..
5)
Margaret Crane gave birth to Sarah Margaret Fuller.
6)
Marie Salóme Juliar gave birth to John William Fuller."	 John Nicholas Ringling	John William Fuller.	0,29,1723,1360
"1)
Florence Augusta Hamilton gave birth to Clive Staples Lewis.
2)
Jane Ludwell gave birth to Lucy Chester.
3)
Katie Jacobs gave birth to Anna Lucia Attanasio.
4)
Jaid Barrymore gave birth to Drew Blythe Barrymore.
5)
Adah Mary Weston gave birth to John Charles Walsham Reith.
6)
Catherine Madox Brown gave birth to John Henry Brown.
7)
Mary Elizabeth Br"	 Joseph Leopold Ford Hermann Madox Hueffer	Henry Brown. 7) Mary Elizabeth Br	42,22,17967,7595,3342,18265,248,2112,13343,4450,39968
"1)
Euphamia Maclean gave birth to Thomas Sean Connery.
2)
Victoria Beckham gave birth to Harper Seven Beckham.
3)
Pat Summitt gave birth to Ross Tyler Summitt.
4)
Vanessa Bell gave birth to Angelica Vanessa Bell.
5)
Laura Beauclerk gave birth to William Charles De Meuron Wentworth-Fitzwilliam.
6)
Katherine Borowitz gave birth to William Charles Borowitz.
7"	 Diego Zipper Turturro	Charles Borowitz. 7	517,126,18798,6390,13043,11784,6521
"1)
Rose Cornish gave birth to Jessica Ellen Cornish.
2)
Lady Janet Campbell gave birth to Lachlan Mor Maclean.
3)
Katherine Lowthian gave birth to Isaac Lowthian Bell.
4)
Mary Campbell van Horne gave birth to Grace Brewster Murray.
5)
Naomi Loveday Josling gave birth to Jeremy Bernard Corbyn.
6)
Roberta Remsen Laidlaw gave birth to William Henry Laidlaw"	 Malcolm Stevenson Forbes Jr.	to William Henry Laidlaw	184,890,497,15969,23
"1)
Phoebe J. Hubbard gave birth to Bertha Janette Piatt.
2)
Hannah Chaplin gave birth to Charles Spencer Chaplin.
3)
Sheila Eileen Farebrother gave birth to Reginald Kenneth Dwight.
4)
Anne Hill Carter Lee gave birth to Robert Edward Lee.
5)
Ethel Sara Stoney gave birth to Alan Mathison Turing.
6)
Catherine Ann Grant gave birth to John Henry Grant.
7"	 Charles Grant Blairfindie Allen	John Henry Grant. 7	4,2,1533,27209,3218,10941
"1)
Betty Lou Bredemus gave birth to Lisa Roberts Gillan.
2)
Ardanelle McCool gave birth to John Arthur Carradine.
3)
Lady Sarah Chatto gave birth to Samuel David Benedict Chatto.
4)
Beverly Pepper gave birth to Jorie Pepper.
5)
Margaret Willinger gave birth to László Josef Willinger.
6)
Joanne Carole Schieble gave birth to John Joseph Carradine"	 Mona Jandali	Joseph Carradine	550,1551,35,62,829
"1)
Ethel Sara Stoney gave birth to Alan Mathison Turing.
2)
Kathlyn Corinne Maclean gave birth to Henry Warren Beaty.
3)
Zara Tindall gave birth to Lena Elizabeth Tindall.
4)
Temperance gave birth to Ella Jane Fitzgerald.
5)
Martha W. Hart gave birth to Charles Robert Redford.
6)
Mary Henn gave birth to John Henry Henn"	 Charles Villiers Stanford	John Henry Henn	5,1461,10912,40439
"1)
Anne Caulfeild gave birth to William Newenham Montague Orpen.
2)
Elizabeth Markham gave birth to Charles Edwin Anson Markham.
3)
Charlotte Fanning Stewart gave birth to Katharine Marjory Ramsay.
4)
Linda McCartney gave birth to Heather Louise See.
5)
Jacklyn Gise gave birth to Jeffrey Preston Jorgensen.
6)
Charlotte Lysons gave birth to William John"	 Charlotte Carnegie	William John	22,1900
"1)
Kate Bosse-Griffiths gave birth to Robert Paul Griffiths.
2)
Isabella George-Bynon gave birth to Mary Chavelita Dunne.
3)
Charlotte Lesher gave birth to Jeffrey Ross Hyman.
4)
Anne Parsons, Countess of Rosse gave birth to Antony Charles Robert Armstrong-Jones.
5)
Cecilia Gibbs gave birth to Cecilia May Gibbs.
6)
Florence Louisa Hemming gave birth to William Henry Hemming.
7"	 George Arthur Boyd-Rochfort	Henry Hemming. 7	14,8,808,90,6118,26415,13951
"1)
Katherine Edith Sadleir gave birth to David Richard Beatty.
2)
Maria Shriver gave birth to Katherine Eunice Schwarzenegger.
3)
Barbara Orbison gave birth to Alexander Orbi Orbison.
4)
Caroline, Princess of Hanover gave birth to Alexandra Charlotte Ulrike Maryam Virginia of Hanover.
5)
Victoria Beckham gave birth to Cruz David Beckham.
6)
Ellen Axson Wilson gave birth to Alexander William Wilson"	 Eleanor Randolph Wilson	Alexander William Wilson	132,831,0
"1)
Georgina Mary Hill gave birth to Constance Georgine Gore-Booth.
2)
Laura Delphine Kilpatrick gave birth to Thelma Morgan.
3)
Arlyn Phoenix gave birth to River Jude Bottom.
4)
Joan Rivers gave birth to Melissa Warburg Rosenburg.
5)
Tish Cyrus gave birth to Destiny Hope Cyrus.
6)
Jemison McBride gave birth to Jazmine"	 John Paul Hammond	birth to Jazmine	28,5076,6368
"1)
Estée Lauder gave birth to Leonard Alan Lauder.
2)
Anne Maria Perry gave birth to James Jackson Storrow II.
3)
Grace Hartley gave birth to Aaron William Jouannet-Hartley.
4)
Mary Gish gave birth to Lillian Diana Gish.
5)
May Davenport Seymour gave birth to Anne Seymour Eckert.
6)
Zuzanna Shonfield gave birth to John Henry Shonfield."	 Katherine Penelope Shonfield	John Henry Shonfield.	60,600,38515,9941,849,6511
