"1)Solange Lima gave birth to Samuel Nunes do Nascimento Lima on 06 May 2004.
Samuel Nunes do Nascimento Lima was born in Goiânia.
2)Barbara Turner gave birth to Jennifer Leigh Morrow on 05 February 1962.
Jennifer Leigh Morrow was born in Hollywood.
3)Catherine Dent gave birth to John Graham Hope Horsley de la Poer Beresford on 05 December 1866.
John Graham Hope Horsley de la Poer Beresford was born in Newcastle upon Tyne.
4)Lady Cecilia Gordon-Lennox gave birth to George Charles Bingham on 13 December 1860.
George Charles Bingham was born in London.
5)Lady Agnes Mary Cecilia Northcote gave birth to Flora Louisa Cecilia MacLeod on 03 January 1878.
Flora Louisa Cecilia MacLeod was born in 10 Downing Street.
6)Ellen Mabel Greaves gave birth to Bertram Clough Williams-Ellis on 28 May 1883.
Bertram Clough Williams-Ellis was born in London."	Gayton	25667,631
"1)Melanie Sloan gave birth to Scarlett Ingrid Johansson Sloan on 22 November 1984.
Scarlett Ingrid Johansson Sloan was born in Manhattan.
2)Estée Lauder gave birth to Leonard Alan Lauder on 19 March 1933.
Leonard Alan Lauder was born in New York City.
3)Dorothy Sewall gave birth to Abigail May on 08 October 1800.
Abigail May was born in Boston.
4)Cindy Breakspeare gave birth to Damian Robert Nesta Marley on 21 July 1978.
Damian Robert Nesta Marley was born in Kingston.
5)Rose Kennedy gave birth to Eunice Mary Kennedy on 10 July 1921.
Eunice Mary Kennedy was born in Brookline.
6)Grand Duchess Elena Vladimirovna of Russia gave birth to Marina of Greece and Denmark on 13 December 1906.
Marina of Greece and Denmark was born in Athens."	Athens	4275,20740
"1)Margaret gave birth to John Saul Howson on 05 May 1816.
John Saul Howson was born in Giggleswick.
2)Wanda Dombek gave birth to Theodore John Kaczynski on 22 May 1942.
Theodore John Kaczynski was born in Evergreen Park.
3)Esther Eneutseak gave birth to Nancy Helena Columbia Palmer on 01 January 1893.
Nancy Helena Columbia Palmer was born in Chicago.
4)Eva Macapagal gave birth to Maria Gloria Macaraeg Macapagal on 05 April 1947.
Maria Gloria Macaraeg Macapagal was born in San Juan.
5)Beatrice of Castile, Marchioness of Montferrat gave birth to Yolande on 01 January 1274.
Yolande was born in Casale Monferrato.
6)Alice Hathaway Lee Roosevelt gave birth to Alice Lee Roosevelt on 12 February 1884.
Alice Lee Roosevelt was born in New York"	Manhattan	3773,22387
"1)Eleanor Spencer Smith gave birth to Frances Emily Gosling on 01 January 1864.
Frances Emily Gosling was born in Hassobury.
2)Bandhu Savali Kitiyakara gave birth to Soamsawali Kitiyakara on 13 July 1957.
Soamsawali Kitiyakara was born in Guy\'s Hospital.
3)Margaret gave birth to John Saul Howson on 05 May 1816.
John Saul Howson was born in Giggleswick.
4)Anna Snyder gave birth to Ann Clare Boothe on 10 March 1903.
Ann Clare Boothe was born in New York City.
5)Joan Nita Mary Bowring gave birth to Susannah Yolande Fletcher on 09 January 1939.
Susannah Yolande Fletcher was born in Chelsea.
6)Christian Clark gave birth to James Clark Ross on 15 April 1800.
James Clark Ross was born in London.
7"	Finsbury Square	7682,9228,9319,41428
"1)Carmina Villarroel gave birth to Cassandra Legaspi on 06 January 2001.
Cassandra Legaspi was born in California.
2)Frances Ford Seymour gave birth to Jayne Seymour Fonda on 21 December 1937.
Jayne Seymour Fonda was born in New York City.
3)Susannah Irlam gave birth to Sarah Wedgwood on 01 January 1734.
Sarah Wedgwood was born in Astbury, Cheshire.
4)Laura Smith gave birth to John Horace Round on 22 February 1854.
John Horace Round was born in Hove.
5)Amy Sherwin gave birth to Jeanette Sherwin Göerlitz on 22 February 1894.
Jeanette Sherwin Göerlitz was born in Marylebone.
6)Delia Williams Brush gave birth to Charles Francis Brush on 17 March 1849.
Charles Francis Brush was born in New York City"	Euclid	4888,24791,5756
"1)Lanie McMullin gave birth to David Evan McMullin on 02 April 1976.
David Evan McMullin was born in Provo.
2)Michelle Phillips gave birth to Gilliam Chynna Phillips on 12 February 1968.
Gilliam Chynna Phillips was born in Los Angeles.
3)Ann Drummond McEwan gave birth to Abraham Bailey on 06 November 1864.
Abraham Bailey was born in Cape Colony.
4)Mary McCartney gave birth to James Paul McCartney on 18 June 1942.
James Paul McCartney was born in Liverpool.
5)Jane Butinini gave birth to Delvis Kasaloo Kyanga on 14 July 1994.
Delvis Kasaloo Kyanga was born in Iringa.
6)Blac Chyna gave birth to King Cairo Stevenson on 16 October 2012.
King Cairo Stevenson was born in New York"	Los Angeles	4825,651
"1)Toby Riddle gave birth to Jefferson Charka Davis Riddle on 01 November 1862.
Jefferson Charka Davis Riddle was born in Oregon.
2)Alice Grace Jenny Hopkinson gave birth to Patience Mary Bragg on 11 September 1935.
Patience Mary Bragg was born in Manchester.
3)Queen Victoria gave birth to Albert Edward on 09 November 1841.
Albert Edward was born in Buckingham Palace.
4)Andrea Nako Koci gave birth to Amanda Koci on 16 February 1994.
Amanda Koci was born in Milwaukee.
5)Emma Freud gave birth to Scarlett Kate Freud Curtis on 21 June 1995.
Scarlett Kate Freud Curtis was born in London.
6)Naomi Loveday Josling gave birth to Jeremy Bernard Corbyn on 26 May 1949.
Jeremy Bernard Corbyn was born in London.
7"	Chippenham	12299,41892,2043,3973
"1)Hannah Chaplin gave birth to Sydney John Hill on 16 March 1885.
Sydney John Hill was born in London.
2)Mayen Adetiba gave birth to Kemi Adetiba on 08 January 1980.
Kemi Adetiba was born in Lagos.
3)Emmeline B. Wells gave birth to Elizabeth Ann Wells on 07 December 1859.
Elizabeth Ann Wells was born in Salt Lake City.
4)Marion Elaine Robinson gave birth to John Wayne Gacy, Jr. on 17 March 1942.
John Wayne Gacy, Jr. was born in Edgewater Hospital.
5)Maureen Cusack gave birth to Jane Moira Cusack on 18 February 1948.
Jane Moira Cusack was born in Dalkey.
6)Julia Stephen gave birth to Adeline Virginia Stephen on 25 January 1882.
Adeline Virginia Stephen was born in London"	London	5179
"1)Susan Drummond Moore gave birth to Anne Shuttleworth Holden on 01 January 1835.
Anne Shuttleworth Holden was born in Aston-on-Trent.
2)Blanche Lovell gave birth to James Arthur Lovell Jr. on 25 March 1928.
James Arthur Lovell Jr. was born in Cleveland.
3)Edith Barrett gave birth to Vincent Barrett Price on 30 August 1940.
Vincent Barrett Price was born in Los Angeles.
4)Debbie Reynolds gave birth to Todd Emmanuel Fischer on 24 February 1958.
Todd Emmanuel Fischer was born in Burbank.
5)Susanne Klejman gave birth to Michael Farrand Bennet on 28 November 1964.
Michael Farrand Bennet was born in New Delhi.
6)Rosalind Hamilton, Duchess of Abercorn gave birth to Lady Cynthia Elinor Beatrix Hamilton on 16 August 1897.
Lady Cynthia Elinor Beatrix Hamilton was born in London"	London	2763
"1)Lyn Irwin gave birth to Stephen Robert Irwin on 22 February 1962.
Stephen Robert Irwin was born in Upper Ferntree Gully.
2)Joanne Carole Schieble gave birth to Mona Jandali on 14 June 1957.
Mona Jandali was born in Green Bay.
3)Alice Hogg gave birth to Douglas McGarel Hogg on 28 February 1872.
Douglas McGarel Hogg was born in London.
4)Etterlene DeBarge gave birth to James Curtis DeBarge on 22 August 1963.
James Curtis DeBarge was born in Detroit.
5)Louisa Ward Crawford Terry gave birth to Mary Crawford on 08 April 1851.
Mary Crawford was born in Italy.
6)Gloria Carter gave birth to Shawn Corey Carter on 04 December 1969.
Shawn Corey Carter was born in Detroit."	Brooklyn	20827,2258
