"1)
Robert Louis DeBarge, Jr. was born in Detroit.
2)
Jamesk was born in Marion.
3)
Tara Lyn Charendoff was born in Toronto.
4)
Henry Pickering Bowditch was born in Boston.
5)
Grenville Temple Emmet was born in New Rochelle.
6)
Thomas Spring Rice was born in New York."	 Hither Green	New York.	72,30876,1509
"1)
Thelma Morgan was born in Lucerne.
2)
Benjamin Hoskins Paddock was born in Sheboygan.
3)
Helen Miller Gould was born in Manhattan.
4)
Peter Brian Gabriel was born in Chobham.
5)
Rafael Edward Cruz was born in Foothills Medical Centre.
6)
Claire Elise Boucher was born in Toronto"	 Vancouver	Toronto	6
"1)
William Douglas Hamilton was born in Henley-on-Thames.
2)
Booker Taliaferro Washington was born in Hale\'s Ford.
3)
Mary Cyrene Burch was born in Georgetown.
4)
John Arthur Carradine was born in Hollywood.
5)
Donald John Trump was born in Jamaica Hospital.
6)
Elizabeth Charlotte Lucy Asquith was born in London"	 London	London	0
"1)
Emma Alice Margaret Tennant was born in Peeblesshire.
2)
Mischa Anne Marsden Barton was born in Hammersmith.
3)
Nancy Keene Perkins was born in Mirador.
4)
Benjamin Brian Thomas Watt was born in Marylebone.
5)
Mary Elizabeth Donaldson was born in Hobart.
6)
Ross Tyler Summitt was born in Sydney."	 Knoxville	Sydney.	762,23
"1)
Robert Sallee James was born in Lickskillet.
2)
Dorothea Waley Cohen was born in London.
3)
Katherine Mathilda Swinton was born in London.
4)
Alfred Ernest Beamish was born in Richmond.
5)
Frances Catherine Marshall was born in London.
6)
Cornelia Martin was born in London.
"	 New York City	born in London.	3,125,1945
"1)
Isaac Lowthian Bell was born in Newcastle upon Tyne.
2)
Lee Brown was born in Sydney.
3)
Elizabeth Anne Holmes was born in Washington, D.C..
4)
Quincy Delight Jones III was born in London.
5)
Robert Edward Lee was born in Stratford Hall.
6)
Sidney Bracy was born in London"	 Melbourne	London	23
"1)
John Atkinson was born in Drogheda.
2)
Percy Rivington Pyne was born in Tuxedo Park.
3)
Anna Mary Robertson was born in Washington County.
4)
Eliza Osgood Vanderbilt was born in Staten Island.
5)
Charles Leonard Woolley was born in Upper Clapton.
6)
Hillary Lynn Hayward-Thomas was born in New"	 Boston	New	40
"1)
Marion Robert Morrison was born in Winterset.
2)
Victoria Mary Sackville-West was born in Knole House.
3)
Alice Clary Earle was born in Brooklyn.
4)
Amy Curtis March was born in United States of America.
5)
Ireland Eliesse Baldwin was born in Los Angeles.
6)
Thomas Lauder Brunton was born in United States"	 Roxburgh	States	656,7270
"1)
Charles John Huffam Dickens was born in Landport.
2)
Derek Jules Gaspard Ulric Niven van den Bogaerde was born in West Hampstead.
3)
Willielma Maxwell was born in Galloway.
4)
William Oliver Stone was born in New York City.
5)
Stephanie Sachiko Parker was born in Los Angeles.
6)
Helen Osborne was born in New"	 Auburn	New	681
"1)
Cecilia May Gibbs was born in Sydenham.
2)
Noel John Christopher Harrison was born in Kensington.
3)
David Kirkpatrick Este Bruce was born in Baltimore.
4)
Oliver Julian Patrick was born in Los Angeles.
5)
Robert Hunter Biden was born in Wilmington.
6)
Patrick Barnabas Burke Mayhew was born in New York"	 Cookham	York	875,155
"1)
Christina Sinatra was born in United States of America.
2)
Archibald Loudon Snowden was born in Cumberland County.
3)
Thomas Cruise Mapother IV was born in Syracuse.
4)
Kamala Devi Harris was born in Oakland Medical Center.
5)
Luca Urs Richard de la Wyke Wrottesley was born in Zürich.
6)
Gavin Christopher Newsom was born in San Francisco"	 San Francisco	San Francisco	0,0
"1)
Keira Christina Knightley was born in Teddington.
2)
Elisabeth Niebuhr was born in New York City.
3)
Virginia Fortune Ryan was born in Newport.
4)
Walter Howard Frere was born in Cambridge.
5)
Elizabeth Le Marchant de Saint Michel was born in Bideford.
6)
James Paul McCartney was born in Liverpool"	 Liverpool	Liverpool	0
