"1)
Imelda Marcos gave birth to Ferdinand Romualdez Marcos, Jr. on 13 September 1957.
2)
Katharine Mary Hewart gave birth to Gordon Howard Eliot Hodgkin on 06 August 1932.
3)
Mary Claybaugh Giamatti gave birth to Angelo Bartlett Giamatti on 04 April 1938.
4)
Anne FitzWilliam gave birth to Elizabeth Cooke on 01 January 1528.
5)
Jane Hawker gave birth to Frances Anne Seymour on 14 August 1807.
6)
Harriet Nelson gave birth to Eric Hilliard Nelson on 16 April 18"	 08 May 1940	16 April 18	29,4,24
"1)
Imelda Marcos gave birth to Ferdinand Romualdez Marcos, Jr. on 13 September 1957.
2)
Sarah Ward gave birth to Ann Julia Kemble on 29 April 1764.
3)
Mary Stow gave birth to George Robert Stowe Mead on 01 January 1863.
4)
Madge Carr Cook gave birth to Eleanor Elise Robson on 13 December 1879.
5)
Bridget Bourke gave birth to Maria Gunning on 01 January 1733.
6)
Melek Hanim gave birth to Frederick Millingen on 01 January 1733"	 01 January 1836	01 January 1733	0,0,1,4
"1)
Kathlyn Corinne Maclean gave birth to Henry Warren Beaty on 30 March 1937.
2)
Anna Folger gave birth to Martha Coffin on 25 December 1806.
3)
Marie Boyer gave birth to Almina Victoria Maria Alexandra Wombwell on 15 August 1876.
4)
Caroline Berryman Spencer gave birth to Lorillard Suydam Spencer, Sr. on 04 July 1883.
5)
Queen Victoria gave birth to Albert Edward on 09 November 1841.
6)
Jacqui Hawkins gave birth to Sally Cecilia Hawkins on 16 December 18"	 27 April 1976	16 December 18	7,3,83
"1)
Temperance gave birth to Ella Jane Fitzgerald on 25 April 1917.
2)
Tessa Joan Prout gave birth to Robin Caspar Walker on 01 January 1978.
3)
Joanne Carole Schieble gave birth to Steven Paul Jobs on 24 February 1955.
4)
Eleanor Roosevelt gave birth to Anna Eleanor Roosevelt on 03 May 1906.
5)
Anne Cathrine Broch gave birth to Elisabeth Susanne Heyerdahl on 20 October 1858.
6)
Marichen Altenburg gave birth to Henrik Johan Ibsen on 23 April 1857"	 20 March 1828	23 April 1857	2,3,0,17
"1)
Ella van Heemstra gave birth to Audrey Kathleen Ruston on 04 May 1929.
2)
Rose Samson Hart gave birth to Herbert Lionel Adolphus Hart on 18 July 1907.
3)
Eleanor Isabel Dalyell gave birth to Thomas Dalyell Loch on 09 August 1932.
4)
Lady Randolph Churchill gave birth to Winston Leonard Spencer Churchill on 30 November 1874.
5)
Grace Purves gave birth to David Milne on 01 January 1805.
6)
Charlotte Jane Fleming gave birth to Kathleen Sophia Hambrough on 18 May 1876"	 07 July 1846	18 May 1876	30,3,0,21
"1)
Olive Moore Cornwell gave birth to David John Moore Cornwell on 19 October 1931.
2)
Julia Sorrell gave birth to Ethel Margaret Arnold on 01 January 1864.
3)
Tabitha King gave birth to Joseph Hillstrom King on 04 June 1972.
4)
Lady Maria Walpole gave birth to Algernon Edward West on 04 April 1832.
5)
Mattie Shaw gave birth to Prince Rogers Nelson on 07 June 1958.
6)
Abby May gave birth to Louisa May Alcott on 18 April 1867"	 29 November 1832	18 April 1867	11,4,0,26
"1)
Helen Fritsch gave birth to Walter Leland Cronkite, Jr. on 04 November 1916.
2)
Jane Wilde gave birth to Oscar Fingal O’Flahertie Wills Wilde on 16 October 1854.
3)
Mary Fox gave birth to Joseph Albert Pease, 1st Baron Gainford on 17 January 1860.
4)
Ruth Frances Muddock gave birth to Charles le Gai Eaton on 01 January 1921.
5)
Ellen Burke gave birth to Percy Ellen Algernon Frederick William Sydney Smythe on 26 November 1825.
6)
Anne Rowling gave birth to Joanne Rowling on 16 December 18"	 31 July 1965	16 December 18	25,8,43
"1)
Doria Ragland gave birth to Rachel Meghan Markle on 04 August 1981.
2)
Wendy Hoyte gave birth to Gavin Andrew Hoyte on 06 June 1990.
3)
Avie Lee Parton gave birth to Dolly Rebecca Parton on 19 January 1946.
4)
Jayne Mansfield gave birth to Mariska Magdolna Hargitay on 23 January 1964.
5)
Kathryn Hayward gave birth to Jeremy Luke Hayward-Thomas on 24 May 1982.
6)
Elizabeth Smith gave birth to Francis Robert Benson on 23 June 1990."	 04 November 1858	23 June 1990.	21,10,48,3186
"1)
Beverley Callard gave birth to Rebecca Jayne Atkinson on 01 January 1977.
2)
Shirley Neilsen Blum gave birth to Jason Ferus Blum on 20 February 1969.
3)
Natalie Bacal gave birth to Betty Joan Perske on 16 September 1924.
4)
Archduchess Maria Anna of Austria gave birth to Princess Alicia Maria Teresa Francesca Luisa Pia Anna Valeria of Bourbon-Parma on 13 November 1917.
5)
Elizabeth Rees-Williams gave birth to Jared Francis Harris on 24 August 1961.
6)
Gladys Rankin gave birth to Sidney Rankin Drew on 23 September 1943."	 19 September 1891	23 September 1943.	3,0,7,5170
"1)
Elizabeth Christ gave birth to Frederick Christ Trump on 11 October 1905.
2)
Estée Lauder gave birth to Ronald Steven Lauder on 26 February 1944.
3)
Mary Montague gave birth to Mary Ball on 30 November 1708.
4)
Andrée Belden Maitland gave birth to Howard Brush Dean III on 17 November 1948.
5)
Tessa Newsom gave birth to Gavin Christopher Newsom on 10 October 1967.
6)
Janina Milosz gave birth to John Peter Milosz on 23 April 18"	 22 January 1951	23 April 18	1,11,50
